	time_arr_filter	jy_lin	jy_ext	jy_unsc	jy_err_lin	jy_err_ext	jy_err_unsc	jy_steady_err	jz_lin	jz_ext	jz_unsc	jz_err_lin	jz_err_ext	jz_err_unsc	jz_steady_err	q_lin	q_ext	q_unsc	q_err_lin	q_err_ext	q_err_unsc	q_steady_err	p_lin	p_ext	p_unsc	p_err_lin	p_err_ext	p_err_unsc	p_steady_err
109	1.09	6.995621714156031	6.826339233938657	6.848505265759741	0.0005381348359060045	0.0005381348359060045	0.0005218991208671255	0.0005221525861347855	7.565010726004877	7.568574985448887	7.568686714710611	7.826449424452803e-06	7.826449424452803e-06	2.3420673092170738e-05	7.827643911596658e-06	0.7128500393689237	0.7449437452829519	0.7341257599343859	3.2189288726351956e-05	3.2189288726351956e-05	6.371372943145695e-05	3.165714600129934e-05	0.6861473256036251	0.6714745706589796	0.674425671417435	7.183371330589971e-05	7.183371330589971e-05	8.053806562216349e-05	7.197410707053634e-05
110	1.1	7.363923924336726	7.229696149400752	7.247371029156132	0.0005376696185068029	0.0005376696185068029	0.0005200022489097469	0.0005221525861347855	6.693017909320781	6.696296944376129	6.696805902107865	7.826416517801584e-06	7.826416517801584e-06	2.3436697040033976e-05	7.827643911596658e-06	0.6867778025613849	0.7215155859181662	0.7177876168396974	3.943646784890228e-05	3.943646784890228e-05	7.15447023284685e-05	3.882646924368319e-05	0.623860375074637	0.618068087473425	0.6216800648860263	6.45749374266167e-05	6.45749374266167e-05	7.280299901601317e-05	6.480478382815246e-05
111	1.11	7.734374302025785	7.634792757268047	7.655539232343823	0.0005372209916823441	0.0005372209916823441	0.000518763715508263	0.0005221525861347855	5.714294379141136	5.7177145741244315	5.71719376200835	7.826384755370421e-06	7.826384755370421e-06	2.3456371231288572e-05	7.827643911596658e-06	0.6867215955687049	0.7228065744314126	0.7120451724234523	4.780483697999687e-05	4.780483697999687e-05	7.98090568662189e-05	4.7156075222009096e-05	0.6549349772437129	0.6586796261255736	0.6611114367422043	5.6195386815076856e-05	5.6195386815076856e-05	6.435766757661859e-05	5.647517784982656e-05
112	1.12	8.00732712104433	7.942247189442001	7.9619659432088445	0.0005367883530273761	0.0005367883530273761	0.0005181781326364839	0.0005221525861347855	4.802078219293221	4.80519849262676	4.805319180639877	7.826354046087304e-06	7.826354046087304e-06	2.3479163594897757e-05	7.827643911596658e-06	0.6790791808165336	0.7150328503750695	0.7072162450298569	5.6547322818801725e-05	5.6547322818801725e-05	8.765016687746324e-05	5.590190504189195e-05	0.6213694466199154	0.633858296527723	0.6366493963678518	4.7442122567372454e-05	4.7442122567372454e-05	5.6070519930709885e-05	4.772934802994372e-05
113	1.1300000000000001	8.251562075831172	8.219871861285554	8.23943824142852	0.0005363711181144885	0.0005363711181144885	0.0005182150236079133	0.0005221525861347855	3.859690139607549	3.862741791012117	3.862118117790264	7.82632445298126e-06	7.82632445298126e-06	2.350422971176108e-05	7.827643911596658e-06	0.6700962861473218	0.7046242059411797	0.6928876890829643	6.488345841974728e-05	6.488345841974728e-05	9.425627331694114e-05	6.428271977280022e-05	0.6336480317887602	0.6545432107530916	0.6551326573375789	3.9095594370883204e-05	3.9095594370883204e-05	4.877291428831977e-05	3.934853329903545e-05
114	1.1400000000000001	8.415581502853035	8.416154212731294	8.43553337299067	0.0005359687252952403	0.0005359687252952403	0.0005188318506303311	0.0005221525861347855	2.987999145572767	2.990789034132643	2.9908512041694757	7.826295948948483e-06	7.826295948948483e-06	2.353055606111794e-05	7.827643911596658e-06	0.6694421324909267	0.7014890819553516	0.6922936546248715	7.206901307140724e-05	7.206901307140724e-05	9.894462271786548e-05	7.154988619499315e-05	0.6056072255288177	0.633860774150959	0.6350488861950382	3.190001659516245e-05	3.190001659516245e-05	4.3174477809157966e-05	3.208136687684252e-05
115	1.1500000000000001	8.566190704497604	8.597229289260857	8.613625027635422	0.0005355806352142014	0.0005355806352142014	0.0005199738253644266	0.0005221525861347855	2.080568560398808	2.0832556128264756	2.081731486641573	7.826268476227126e-06	7.826268476227126e-06	2.355795595455164e-05	7.827643911596658e-06	0.6448216768082916	0.673419633296548	0.657910205620811	7.746240025491486e-05	7.746240025491486e-05	0.00010122571323360306	7.705424997542377e-05	0.6398165064105774	0.6746915598073676	0.6698081158641472	2.649696130858334e-05	2.649696130858334e-05	3.9795598691626576e-05	2.6577003096411894e-05
116	1.16	8.640710637389468	8.700639651334535	8.71571463862901	0.0005352063295054662	0.0005352063295054662	0.0005215775363351118	0.0005221525861347855	1.2488962226821188	1.2511978406283215	1.2506604590487769	7.826241979442862e-06	7.826241979442862e-06	2.358553388596932e-05	7.827643911596658e-06	0.6354773034692103	0.6602486102417718	0.643928629032008	8.058193508298849e-05	8.058193508298849e-05	0.00010084276506854329	8.0304122690964e-05	0.6380213580522374	0.6779926855890874	0.6712568144129266	2.336810038673984e-05	2.336810038673984e-05	3.892740261585227e-05	2.3327130380871652e-05
117	1.17	8.661916130829379	8.748659216428875	8.763250607009482	0.0005348453095371949	0.0005348453095371949	0.0005235752329450935	0.0005221525861347855	0.48105329733289537	0.48315546287706984	0.48298636054407956	7.826216413083862e-06	7.826216413083862e-06	2.3612672362661515e-05	7.827643911596658e-06	0.6311443242522812	0.6517205918894706	0.6354745074185978	8.114882943765379e-05	8.114882943765379e-05	9.778431415516604e-05	8.100920289087233e-05	0.6294023360119467	0.673409665722021	0.6661974409934133	2.2792209815283828e-05	2.2792209815283828e-05	4.061708303823151e-05	2.2622050180963322e-05
118	1.18	8.635028907180459	8.746322030091116	8.761064203145928	0.0005344970953387545	0.0005344970953387545	0.0005258992519024207	0.0005221525861347855	-0.21385721590783113	-0.21187598394313686	-0.21192676030515062	7.826191738626711e-06	7.826191738626711e-06	2.3638788501924167e-05	7.827643911596658e-06	0.6324476618331651	0.6485088597862158	0.6332473200871722	7.911208547590006e-05	7.911208547590006e-05	9.22722896386391e-05	7.910650786079672e-05	0.6167366628727231	0.6638845782463055	0.6570432158959891	2.4820275818995833e-05	2.4820275818995833e-05	4.4678433584173036e-05	2.452474521103895e-05
